"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO"
"19/08/2025","137.321","134.432","-2,10","133.997","137.321"
"18/08/2025","n/d","137.322","0,72","136.341","137.902"
"15/08/2025","136.354","136.341","-0,25","135.583","136.431"
"13/08/2025","135.629","136.687","-0,89","136.535","137.913"
"12/08/2025","135.913","137.914","1,69","135.629","138.414"
"11/08/2025","135.913","135.623","-0,21","135.496","136.307"
"08/08/2025","136.526","135.913","-0,45","135.659","136.761"
"07/08/2025","133.169","136.528","1,48","134.533","137.007"
"06/08/2025","133.169","134.538","1,04","133.169","135.241"
"05/08/2025","132.440","133.151","0,14","132.682","134.233"
"04/08/2025","n/d","132.971","0,40","132.440","133.929"
"01/08/2025","132.920","132.437","-0,48","132.140","133.237"
"31/07/2025","132.702","133.071","-0,69","132.096","133.987"
"30/07/2025","132.702","133.990","0,95","131.883","134.368"
"29/07/2025","132.130","132.726","0,45","132.130","133.346"
"28/07/2025","133.538","132.129","-1,04","131.550","133.902"
"25/07/2025","133.820","133.524","-0,21","133.285","134.204"
"24/07/2025","134.036","133.808","-1,15","133.648","135.363"
"23/07/2025","134.180","135.368","0,99","133.676","135.782"
"22/07/2025","134.180","134.036","-0,10","133.986","135.300"
"21/07/2025","133.382","134.167","0,59","133.367","134.865"
"18/07/2025","135.562","133.382","-1,61","133.296","135.562"
"17/07/2025","135.515","135.565","0,04","135.016","135.792"
"16/07/2025","135.298","135.511","0,19","134.265","135.641"
"15/07/2025","135.298","135.250","-0,04","134.380","136.022"
"14/07/2025","136.187","135.299","-0,65","134.840","136.187"
"11/07/2025","136.742","136.187","-0,41","135.528","136.742"
"10/07/2025","137.472","136.743","-0,54","136.014","137.472"
"09/07/2025","139.303","137.481","-1,31","137.299","139.331"
"08/07/2025","141.265","139.303","-0,13","138.770","139.591"
"07/07/2025","141.265","139.490","-1,26","139.295","141.342"
"04/07/2025","139.051","141.264","0,24","140.597","141.564"
"03/07/2025","139.586","140.928","1,35","139.051","141.304"
"02/07/2025","138.855","139.051","-0,36","138.384","140.049"
"01/07/2025","136.865","139.549","0,50","138.855","139.695"
"30/06/2025","136.865","138.855","1,45","136.430","139.103"
"27/06/2025","135.767","136.866","-0,18","136.469","137.209"
"26/06/2025","137.163","137.114","0,99","135.756","137.353"
"25/06/2025","136.552","135.767","-1,02","135.565","137.163"
"24/06/2025","137.116","137.165","0,45","136.254","138.156"
"23/06/2025","n/d","136.551","-0,41","135.835","137.130"
"20/06/2025","138.844","137.116","-1,15","136.815","138.719"
"18/06/2025","139.256","138.717","-0,09","138.443","139.161"
"17/06/2025","137.212","138.840","-0,30","138.293","139.497"
"16/06/2025","137.212","139.256","1,49","137.212","139.988"
"13/06/2025","137.127","137.213","-0,43","136.586","137.800"
"12/06/2025","137.127","137.800","0,49","136.175","137.931"
"11/06/2025","135.716","137.128","0,51","135.628","137.531"
"10/06/2025","136.102","136.436","0,54","135.716","137.369"
"09/06/2025","136.102","135.699","-0,30","134.119","136.106"